"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51242","@regression1 Verify add valid data succefully","chromium","Tue Oct 28 23:13:50 ICT 2025","passed","Tue Oct 28 23:14:41 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@sanity Verify add new valid data successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Practice Form Module","sanaty\forms\practiceForm.spec.js","",""
"","0","@regression Verify empty textfield","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","15428","@smoke Verify open the page and click on the button","webkit","Tue Oct 28 23:29:23 ICT 2025","passed","Tue Oct 28 23:29:38 ICT 2025","DEMOQA Buttons Module","smoke\elements\buttons.spec.js","",""
"","15414","@smoke Verify open the page and open the new tab","firefox","Tue Oct 28 23:28:08 ICT 2025","passed","Tue Oct 28 23:28:23 ICT 2025","DEMOQA Browser Windows Module","smoke\AFW\browserWindows.spec.js","",""
"","1","@regression Verify Collapse check box successfully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","29138","@smoke Verify open the page and checked checkbox","chromium","Tue Oct 28 23:26:45 ICT 2025","passed","Tue Oct 28 23:27:14 ICT 2025","DEMOQA Check Box Module","smoke\elements\checkBox.spec.js","",""
"","26968","@regression1 Verify edit data with invalid number format","firefox","Tue Oct 28 23:17:05 ICT 2025","passed","Tue Oct 28 23:17:32 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","29642","@regression1 Verify Collapse check box successfully","firefox","Wed Oct 29 11:13:46 ICT 2025","passed","Wed Oct 29 11:14:15 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify click on created link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","44909","@regression1 Verify checked check box successfully","chromium","Wed Oct 29 11:12:10 ICT 2025","passed","Wed Oct 29 11:12:55 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","36660","@smoke Verify open the page and add new user","firefox","Tue Oct 28 23:28:55 ICT 2025","passed","Tue Oct 28 23:29:32 ICT 2025","DEMOQA Practice Form Module","smoke\forms\practiceForm.spec.js","",""
"","48595","@regression1 Verify edit with invalid email format","firefox","Tue Oct 28 23:16:17 ICT 2025","passed","Tue Oct 28 23:17:05 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@sanity Verify add new valid data successfully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web Tables Module","sanaty\elements\webTables.spec.js","",""
"","38385","@regression1 Verify Maximize check box successfully","firefox","Wed Oct 29 11:13:08 ICT 2025","passed","Wed Oct 29 11:13:46 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression1 Verify click on Forbidden link succeffully","firefox","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify Maximize check box successfully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
